#{"t_start": 1671732235.1091685, "env_id": null}
r,l,t
0.0,48,517.883333
0.0,560,518.171456
0.0,212,518.64392
1.0,140,519.302762
0.0,1001,520.248667
1.0,101,520.381524
0.0,10,520.700591
1.0,73,521.007957
1.0,104,521.532358
0.0,41,521.593234
1.0,809,522.576529
1.0,185,522.7391
0.0,1001,523.39641
1.0,57,523.458934
0.0,35,523.72157
1.0,76,525.223572
1.0,30,526.190298
1.0,509,526.899929
1.0,206,527.429329
1.0,222,528.332555
1.0,661,528.432262
1.0,38,529.549226
1.0,35,529.549309
1.0,10,529.884094
1.0,92,530.515306
0.0,977,530.899805
1.0,231,531.319205
0.0,369,531.411087
0.0,167,531.704483
0.0,12,531.805996
0.0,51,532.558831
0.0,614,532.758988
1.0,457,532.821098
1.0,94,532.956892
1.0,48,533.37889
1.0,315,533.807479
0.0,17,533.936907
0.0,101,534.621157
0.0,64,534.906738
0.0,1001,535.485757
1.0,57,535.653352
1.0,23,535.65342
1.0,375,535.683495
0.0,6,535.683569
0.0,5,535.814971
0.0,100,535.815087
1.0,16,536.175091
1.0,12,536.563844
1.0,134,537.119009
0.0,1001,537.547334
1.0,185,537.74737
1.0,122,537.91082
1.0,341,538.105783
0.0,13,538.331151
1.0,86,538.491352
0.0,1001,538.723318
0.0,4,538.851546
0.0,36,538.920573
1.0,571,540.226574
1.0,174,540.295905
1.0,84,540.842136
1.0,163,541.001525
1.0,5,541.170489
1.0,284,542.219409
1.0,214,542.819979
1.0,98,544.382622
1.0,185,546.351013
0.0,6,546.55469
1.0,125,546.915765
0.0,12,546.948128
1.0,12,547.303245
1.0,288,547.771567
0.0,301,548.732229
1.0,314,548.793124
0.0,589,548.831918
0.0,53,549.058622
0.0,13,549.151391
0.0,75,549.420967
1.0,421,549.612821
0.0,58,549.680698
0.0,99,552.288675
1.0,244,552.388575
1.0,483,553.365128
1.0,117,553.436652
1.0,531,553.958003
1.0,189,554.963239
1.0,54,555.131632
1.0,479,555.915602
1.0,419,555.948726
1.0,257,558.067578
1.0,216,560.579485
0.0,32,561.642919
1.0,381,561.967693
1.0,207,561.999217
1.0,964,562.130993
1.0,443,563.409027
0.0,54,563.774666
1.0,200,564.721377
1.0,380,564.917052
1.0,6,564.917126
1.0,482,565.017221
1.0,804,565.349125
1.0,480,568.096805
1.0,201,568.55358
0.0,123,568.940608
1.0,123,568.940677
0.0,416,569.658993
0.0,23,569.694728
0.0,1001,569.985289
1.0,66,570.243064
1.0,62,589.319209
1.0,278,590.454515
1.0,550,590.611533
1.0,145,590.79821
0.0,1001,591.140494
1.0,318,591.224368
1.0,575,592.087971
1.0,60,592.505186
1.0,658,592.824633
1.0,78,592.856334
1.0,192,593.737561
0.0,11,594.080186
1.0,371,594.331481
1.0,51,594.457609
1.0,482,594.588227
0.0,14,594.905093
1.0,123,595.004306
0.0,34,595.163256
1.0,147,595.664456
1.0,28,596.039089
1.0,107,596.191363
1.0,156,597.003069
1.0,70,598.382742
1.0,491,598.413423
1.0,150,599.043782
1.0,283,599.10787
1.0,613,599.176489
0.0,33,599.440275
0.0,44,599.832499
1.0,40,600.445245
1.0,115,600.633077
